source_id	title	platform	url	published_at	access_type	authorization_status	source_type	topic_tags	stroke_tags	timestamps	usability	confidence	notes
LYX_BILI_OFFICIAL_CHANNEL	李宇轩教练 official Bilibili channel	Bilibili	https://space.bilibili.com/519050265/video	unknown	public	official	channel	official,teaching,discovery	all		usable	high	Canonical official-account discovery seed; not direct technical evidence.
LYX_BILI_PAID_COURSE_CATALOG	李宇轩教练 official Bilibili channel paid course catalog	Bilibili	https://www.bilibili.com/cheese/play/ep1540732	unknown	restricted	official	course_catalog	course_catalog,gap_analysis	all		auxiliary	high	Public catalog metadata only; paid lessons are excluded from parsing and technical evidence.
LYX_BILI_BV1XFN46LESH	【李宇轩教练】Newest video is live, come join the crowd!	Bilibili	https://www.bilibili.com/video/BV1XfN46LESH	2026-07-11	public	official	video	unclassified_public_video	all		candidate	high	Official-account public metadata; duration=42s; discovered_by=space_playlist
LYX_BILI_BV1FMMP6KEDF	打球没有【连贯性】到底怎么办，步伐都练熟悉了但打球时就是莫名的连贯不上。今天帮你们解决这难题【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1FmMP6KEDF	2026-07-05	public	official	video	footwork,training	footwork		candidate	high	Official-account public metadata; duration=890s; discovered_by=space_playlist
LYX_BILI_BV1VB7B6KE4R	为什么你们打球没有一致性？即便学过但用不上也没有欺骗性。今天教会你们顶级球员的一致性【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1VB7B6kE4R	2026-06-26	public	official	video	training	all		candidate	high	Official-account public metadata; duration=900s; discovered_by=space_playlist
LYX_BILI_BV1TUEY6WE8U	【正手被动勾球】为什么你们的勾球又高，又远，甚至还总出界下网呢，到底如何调整	Bilibili	https://www.bilibili.com/video/BV1tUEY6WE8u	2026-06-11	public	official	video	frontcourt	frontcourt		candidate	high	Official-account public metadata; duration=868s; discovered_by=space_playlist
LYX_BILI_BV1IFGC6LEA9	一致性极强的技术	Bilibili	https://www.bilibili.com/video/BV1iFGC6LEA9	2026-05-27	public	official	video	training	all		candidate	high	Official-account public metadata; duration=878s; discovered_by=space_playlist
LYX_BILI_BV14GVP6ZET1	BV14GVP6ZEt1	Bilibili	https://www.bilibili.com/video/BV14GVP6ZEt1	unknown	restricted	public	video	unclassified_public_video	all		auxiliary	medium	Official-account public metadata; duration=unknowns; discovered_by=space_playlist; public detail endpoint unavailable; excluded from content parsing
LYX_BILI_BV1DVG766ETN	遇到暴力进攻选手应该怎么办？怎么才可以轻松接住他的各种进攻球【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1dVG766EtN	2026-05-24	public	official	video	unclassified_public_video	all		candidate	high	Official-account public metadata; duration=900s; discovered_by=space_playlist
LYX_BILI_BV1LJR2BTEN5	志田千阳“轮臂反手式”合理吗？到底对还是错？我们可以学吗？更适合女孩吗？【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1LJR2BtEn5	2026-05-09	public	official	video	backhand,student_fit	backhand		candidate	high	Official-account public metadata; duration=862s; discovered_by=space_playlist
