source_id	title	platform	url	published_at	access_type	authorization_status	source_type	topic_tags	stroke_tags	timestamps	usability	confidence	notes
ZSW_BILI_OFFICIAL_CHANNEL	郑思维 official Bilibili channel	Bilibili	https://space.bilibili.com/383058245/video	unknown	public	official	channel	official,teaching,discovery	all		usable	high	Tier A discovery seed; UID 383058245; channel metadata is not direct technical evidence.
ZSW_BILI_BV11O4ZEPEPT	欢迎进入羽球思维第一期🏸接发球教学	Bilibili	https://www.bilibili.com/video/BV11o4ZePEPt	2024-09-13	public	official	video	receive,opening,first_three_shots	serve_receive		usable	high	Tier A; official-account public video; duration 85s; public metadata verified 2026-07-17.
ZSW_BILI_BV1SATTEWEBS	欢迎来到羽球思维第二期🏸男生在左半场的几种接发球套路	Bilibili	https://www.bilibili.com/video/BV1SAtTewEbs	2024-09-14	public	official	video	receive,opening,role_route	serve_receive		usable	high	Tier A; official-account public video; duration 98s; public metadata verified 2026-07-17.
ZSW_BILI_BV1J6BCEIEAG	欢迎来到羽球思维第三期🏸防偷后场教学	Bilibili	https://www.bilibili.com/video/BV1J6bceiEag	2024-09-20	public	official	video	receive,opening,rear_cover	serve_receive,rear_footwork		usable	high	Tier A; official-account public video; duration 122s; public metadata verified 2026-07-17.
ZSW_BILI_BV1VE1DYME52	欢迎来到羽球思维第八期🏸几种后场进攻方式	Bilibili	https://www.bilibili.com/video/BV1vE1dYME52	2024-10-05	public	official	video	rear_attack,shot_choice,attack_variation	smash,drop		usable	high	Tier A; official-account public video; duration 39s; public metadata verified 2026-07-17.
ZSW_BILI_BV1ILCNYVEHW	羽球思维第三十二期🏸正手区后场突击步伐	Bilibili	https://www.bilibili.com/video/BV1iLCnYvEhw	2024-12-28	public	official	video	rear_attack,footwork,recovery	smash,rear_footwork		usable	high	Tier A; official-account public video; duration 206s; public metadata verified 2026-07-17.
ZSW_BILI_BV1BPN8EMEL5	羽球思维第四十期🏸更简单学会贴网的吊球	Bilibili	https://www.bilibili.com/video/BV1bpN8eMEL5	2025-02-07	public	official	video	frontcourt_pressure,attack_building,shot_quality	drop		usable	high	Tier A; official-account public video; duration 237s; public metadata verified 2026-07-17.
ZSW_BILI_BV1JCKPENEIW	羽球思维四十三期🏸双打实用的接发球方法	Bilibili	https://www.bilibili.com/video/BV1JcKPenEiW	2025-02-15	public	official	video	receive,opening,first_three_shots	serve_receive		usable	high	Tier A; official-account public video; duration 165s; public metadata verified 2026-07-17.
ZSW_BILI_BV1AURDY3EPT	羽球思维第五十四期🏸被压后场来不及退怎么办？	Bilibili	https://www.bilibili.com/video/BV1auRDY3Ept	2025-04-05	public	official	video	defense_transition,rear_cover,recovery	rear_footwork,transition		usable	high	Tier A; official-account public video; duration 124s; public metadata verified 2026-07-17.
ZSW_BILI_BV1ZKBNZLEHR	羽球思维第七十三期🏸后场进攻下一拍无法连贯？	Bilibili	https://www.bilibili.com/video/BV1ZkbnzLEhR	2025-08-16	public	official	video	rear_attack,continuity,rotation,recovery	smash,doubles		usable	high	Tier A; official-account public video; duration 414s; public metadata verified 2026-07-17.
ZSW_BILI_BV1TZHUZIEZQ	羽球思维第七十一期🏸被推压反手底线如何处理	Bilibili	https://www.bilibili.com/video/BV1TzhuziEzQ	2025-08-03	public	official	video	defense_transition,backhand_corner,reset	backhand,transition		usable	high	Tier A; official-account public video; duration 460s; public metadata verified 2026-07-17.
