source_id	title	platform	url	published_at	access_type	authorization_status	source_type	topic_tags	stroke_tags	timestamps	usability	confidence	notes
LH_OFFICIAL_YT	Liu Hui Badminton official YouTube channel	YouTube	https://www.youtube.com/@liuhuiyumaoqiu	unknown	public	official	channel	official,training,teaching,channel	all		usable	high	Official/public channel discovery seed; 2026-07-08 public search result identified channel id UCYFt9IXV8XwacWxhZFpPsTQ and about 1.3K videos, but direct metadata export is blocked in this environment.
LH_OFFICIAL_YT_ALT	Liu Hui Badminton official YouTube handle discovered in public search	YouTube	https://www.youtube.com/@initial-G_badminton	unknown	public	official	channel	official,training,teaching,channel	all		candidate	medium	Public search result identifies Liu Hui Badminton channel; verify handle/channel id before treating as canonical duplicate.
LH_SOCIALBLADE_CHANNEL_STATS	Liu Hui Badminton public channel statistics candidate	SocialBlade	https://socialblade.com/youtube/channel/UCPs57K-4ykgxxf7BFGldegQ	unknown	public	third_party	stats	channel_stats,scale,discovery	all		auxiliary	low	Legacy third-party stats page retained only as an auxiliary discovery trail; 2026-07-08 YouTube handle search points to UCYFt9IXV8XwacWxhZFpPsTQ, so do not use this row as canonical channel identity.
LH_BILI_DAGI_AUTH_INDEX	Dagi Badminton Liu Hui authorized clip/list page	Bilibili	https://www.bilibili.com/list/ml73830778	unknown	public	authorized	playlist	authorized_clip,index,collection	all		candidate	medium	Public Bilibili list page found via search; snippets describe Liu Hui authorized teaching clips.
LH_BILI_AUTH_CLIP	Liu Hui authorized Bilibili clip seed	Bilibili	https://www.bilibili.com/video/BV1iN4111712/	unknown	public	authorized	video	high_clear,top_elbow,teaching	high_clear		usable	medium	Public page described as authorized clip source in prior research; verify authorization wording before public release.
LH_BILI_FRAMEWORK	Overhead power framework public clip	Bilibili	https://www.bilibili.com/video/BV1Rs4y1a7EG/	unknown	public	public	video	power_framework,learning_order,overhead	high_clear,smash		usable	medium	Public framework clue; verify original source and avoid long quotes.
LH_BILI_SMASH_ELBOW	Smash top-elbow teaching clip	Bilibili	https://www.bilibili.com/video/BV1VtjtzdEKs/	unknown	public	public	video	smash,top_elbow,overhead	smash		usable	medium	Public teaching clip; use timestamped observations only.
LH_BILI_CLEAR_HEIGHT	Why high clear is not high enough	Bilibili	https://www.bilibili.com/video/BV1TK4y1B7XQ/	unknown	public	authorized	video	high_clear,contact_window,overhead	high_clear		usable	medium	Public Bilibili page found by exact BV search; title-level use only until timestamp review.
LH_BILI_INTERNAL_ROTATION_CUE	Do not force internal rotation cue	Bilibili	https://www.bilibili.com/video/BV11F411D7s4/	unknown	public	authorized	video	internal_rotation,pronation,cue_risk	high_clear,smash		usable	medium	Public search result title points to internal-rotation cue risk; title-level use only until timestamp review.
LH_BILI_WRIST_WHIP_ERROR	Too much wrist whipping error	Bilibili	https://www.bilibili.com/video/BV1eH4y1Y7si/	unknown	public	authorized	video	wrist,whip,error_correction	high_clear,smash		usable	medium	Public search result title points to wrist-dominant error; title-level use only until timestamp review.
LH_BILI_CONTACT_POINT_CLEAR	High clear contact point public clip	Bilibili	https://www.bilibili.com/video/BV1NN411m7sh/	unknown	public	authorized	video	contact_point,high_clear,overhead	high_clear		candidate	medium	Public search result title points to contact point; needs timestamp review.
LH_BILI_BIG_ARM_INTERNAL_ROTATION	Big-arm stop and internal-rotation training	Bilibili	https://www.bilibili.com/video/BV1a64y1P76h/	unknown	public	authorized	video	internal_rotation,arm_path,training	high_clear,smash		candidate	medium	Public search result title points to internal-rotation training; needs timestamp review.
LH_BILI_CLEAR_FRAMEWORK	High-clear action framework	Bilibili	https://www.bilibili.com/video/BV1G14y1r7Ls/	unknown	public	authorized	video	framework,high_clear,overhead	high_clear		candidate	medium	Public search result title points to high-clear framework; needs timestamp review.
LH_BILI_CLEAR_CHANGE_ACTION	High-clear action correction points	Bilibili	https://www.bilibili.com/video/BV1es4y1K7PV/	unknown	public	authorized	video	action_correction,high_clear,learning_order	high_clear		candidate	medium	Public search result title points to change-action sequence; needs timestamp review.
LH_BILI_MATCH_TRANSFER	From learned technique to match use	Bilibili	https://www.bilibili.com/video/BV1QP411x7Vd/	unknown	public	authorized	video	match_transfer,training_order,application	all		candidate	medium	Public search result title points to training transfer; needs timestamp review.
LH_BILI_LEARNING_ORDER	Badminton learning order public clip	Bilibili	https://www.bilibili.com/video/BV1Yu411G7mr/	unknown	public	authorized	video	learning_order,system,training_plan	all		candidate	medium	Public search result title points to learning order; needs timestamp review.
LH_BILI_SIMPLE_SMASH_SEQUENCE	Simple smash sequence	Bilibili	https://www.bilibili.com/video/BV1yu4y1J7Ne/	unknown	public	authorized	video	smash,sequence,beginner	smash		candidate	medium	Public search result title points to smash sequencing; needs timestamp review.
LH_BILI_SLICE_DROP_SMASH	Slice drop and smash teaching	Bilibili	https://www.bilibili.com/video/BV14m4y1x7dH/	unknown	public	authorized	video	overhead_variation,drop,smash	smash,drop		candidate	medium	Public search result title points to overhead variations; needs timestamp review.
LH_BILI_LAZY_LEGS	Leg-lazy correction set	Bilibili	https://www.bilibili.com/video/BV1sa4y137bZ/	unknown	public	authorized	video	footwork,lazy_legs,recovery	footwork		candidate	medium	Public search result title points to footwork correction; needs timestamp review.
LH_BILI_BACKCOURT_STEAL_FOOTWORK	Passive rear-court steal footwork discussion	Bilibili	https://www.bilibili.com/video/BV1mQ4y147rw/	unknown	public	authorized	video	footwork,passive_rear_court,late_arrival	footwork		candidate	medium	Public search result title points to passive rear-court footwork; needs timestamp review.
LH_BILI_SEARCH_FOOTWORK	Public Bilibili search for Liu Hui footwork	Bilibili	https://search.bilibili.com/all?keyword=%E5%88%98%E8%BE%89%E7%BE%BD%E6%AF%9B%E7%90%83%20%E6%AD%A5%E4%BC%90	unknown	public	public	search	footwork,discovery,index	footwork		auxiliary	low	Search URL for continued source discovery; not coaching evidence.
LH_YT_TOP_ELBOW_CLEAR	Top-elbow high clear teaching clip	YouTube	https://www.youtube.com/watch?v=fvmKvrvbn4o	unknown	public	public	video	top_elbow,high_clear,contact_point	high_clear		usable	medium	Public teaching clip; use timestamped observations only.
LH_YT_PRONATION_WHIP	Internal rotation and whip teaching clip	YouTube	https://www.youtube.com/watch?v=ryhcSDdF6gE	unknown	public	public	video	pronation,whip,overhead_power	high_clear,smash		usable	medium	Public teaching clip; use timestamped observations only.
LH_YT_THREE_FRAMEWORKS	Three rear-court frameworks and power methods	YouTube	https://www.youtube.com/watch?v=cvXC_0jbZOY	unknown	public	public	video	power_framework,student_fit,overhead	high_clear,smash		usable	medium	Public framework clue; use for source-backed/inferred taxonomy only after timestamp review.
LH_YT_HIP_ROTATION	What hip rotation is and how to rotate hips	YouTube	https://www.youtube.com/watch?v=m7orGSn9LHA	unknown	public	public	video	hip_rotation,kinetic_chain,overhead	high_clear,smash		candidate	medium	Public search result title points to hip-rotation concept; needs timestamp review.
LH_YT_CONTACT_POINT	High-clear contact point answer	YouTube	https://www.youtube.com/watch?v=NCPydBSIAOI	unknown	public	public	video	contact_point,high_clear,overhead	high_clear		usable	medium	Public search result title points to contact point; title-level use only until timestamp review.
LH_YT_INTERNAL_ROTATION	Internal rotation power training	YouTube	https://www.youtube.com/watch?v=PoDigRi3cec	unknown	public	public	video	internal_rotation,pronation,power	high_clear,smash		candidate	medium	Public search result title points to internal rotation; needs timestamp review.
LH_YT_HEAVY_SMASH_FRAMEWORK	Heavy smash framework	YouTube	https://www.youtube.com/watch?v=EXz5UKf4Bm0	unknown	public	public	video	smash,power_framework,overhead	smash		candidate	medium	Public search result title points to smash framework; needs timestamp review.
LH_YT_PASSIVE_REAR_COURT	Passive rear-court pressure is not only footwork	YouTube	https://www.youtube.com/watch?v=xg9g0Y83SZc	unknown	public	public	video	late_arrival,passive_rear_court,diagnosis	footwork,high_clear		candidate	medium	Public search result title points to diagnostic distinction; needs timestamp review.
LH_YT_DROP_FOOTWORK	Receive-drop footwork teaching	YouTube	https://www.youtube.com/watch?v=AKg2HgkEBAA	unknown	public	public	video	receive_drop,footwork,front_court	footwork		candidate	medium	Public search result title points to receive-drop footwork; needs timestamp review.
LH_YT_PRACTICAL_FOOTWORK	Practical footwork teaching	YouTube	https://www.youtube.com/watch?v=BdTJQGxu_RE	unknown	public	public	video	footwork,practical_training,training_plan	footwork		candidate	medium	Public search result title points to practical footwork; needs timestamp review.
LH_YT_PASSIVE_WHIP	Passive rear-court whip explanation	YouTube	https://www.youtube.com/watch?v=4cPaX_vQXR4	unknown	public	public	video	passive_rear_court,whip,overhead	high_clear,smash		candidate	medium	Public search result title points to passive rear-court whip; needs timestamp review.
LH_YT_FOOTWORK_FIT	Choose suitable footwork	YouTube	https://www.youtube.com/watch?v=0dQIjvi3VeQ	unknown	public	public	video	student_fit,footwork,selection	footwork		candidate	medium	Public search result title points to fit-based footwork selection; needs timestamp review.
LH_YT_WHIP_MECHANICS	Whip mechanics public clip	YouTube	https://www.youtube.com/watch?v=HVcfxRrCK7k	unknown	public	public	video	whip,mechanics,overhead	high_clear,smash		candidate	medium	Public search result title points to whip mechanics; needs timestamp review.
LH_YT_EXPLOSIVE_POWER	Explosive power public clip	YouTube	https://www.youtube.com/watch?v=HyPKlRKTgNQ	unknown	public	public	video	explosive_power,kinetic_chain,overhead	smash,high_clear		candidate	medium	Public search result title points to explosive power; needs timestamp review.
LH_YT_RECEIVE_DROP_ALT	Receive-drop footwork alternative	YouTube	https://www.youtube.com/watch?v=ipwM0JUbLdc	unknown	public	public	video	receive_drop,footwork,front_court	footwork		candidate	medium	Public search result title points to receive-drop footwork; needs timestamp review.
LH_YT_TENSION_OBSERVATION	Observe tension and action quality	YouTube	https://www.youtube.com/watch?v=2YqbTeUAMh4	unknown	public	public	video	tension,diagnosis,observation	all		candidate	medium	Public search result title points to tension observation; needs timestamp review.
LH_YT_CONSISTENCY	Consistency training public clip	YouTube	https://www.youtube.com/watch?v=EQWjM4kY86M	unknown	public	public	video	consistency,training_plan,match_transfer	all		candidate	medium	Public search result title points to consistency training; needs timestamp review.
LH_YT_TACTICAL_INTEL	Gather tactical intel public clip	YouTube	https://www.youtube.com/watch?v=PsYnamMP8R4	unknown	public	public	video	match_analysis,tactics,observation	all		auxiliary	medium	Public search result title points to match observation; auxiliary for skill v1.
LH_YT_REAR_TRANSITION	Forehand rear-court transition public clip	YouTube	https://www.youtube.com/watch?v=vM131HBDBEY	unknown	public	public	video	rear_court_transition,footwork,overhead	footwork,high_clear		candidate	medium	Public search result title points to rear-court transition; needs timestamp review.
LH_YT_FIND_CONTACT_POINT	Find the hitting point public clip	YouTube	https://www.youtube.com/watch?v=YuRCvCFFgOM	unknown	public	public	video	contact_point,diagnosis,system	all		candidate	medium	Public search result title indicates Liu Hui concept of finding the hitting point; needs timestamp review.
LH_YT_FIT_SYSTEM	Choose a suitable personal system public clip	YouTube	https://www.youtube.com/watch?v=H_0aSulQB8E	unknown	public	public	video	student_fit,system,framework	all		candidate	medium	Public search result title points to choosing a system suited to the player; needs timestamp review.
LH_YT_RELAXED_POWER	Relaxation and power public clip	YouTube	https://www.youtube.com/watch?v=3mE81vMHYC8	unknown	public	public	video	relaxation,power,tension	all		candidate	medium	Public search result title points to relaxed power; needs timestamp review.
LH_YT_BODY_JAMMED_SHOT	Body-jammed shot handling public clip	YouTube	https://www.youtube.com/watch?v=_dSZ0OKTDKw	unknown	public	public	video	body_jammed,defense,positioning	drive,doubles		candidate	medium	Public search result title points to body-jammed handling; needs timestamp review.
LH_YT_HEAD_BACKHAND_CORNER	Head-area backhand sideline public clip	YouTube	https://www.youtube.com/watch?v=dKiH07WYHuA	unknown	public	public	video	head_area,backhand_corner,overhead	backhand,footwork		candidate	medium	Public search result title points to backhand-side head-area solution; needs timestamp review.
LH_YT_PLAYLIST_FOREHAND	Forehand power-shot playlist	YouTube	https://www.youtube.com/playlist?list=PLAjs7Aq7OvqtjJLEfWz1RQwbdf_y7rSV3	unknown	public	public	playlist	forehand,power,playlist	high_clear,smash		candidate	medium	Public playlist from search; import child metadata before rule use.
LH_YT_PLAYLIST_GENERAL	Public badminton playlist	YouTube	https://www.youtube.com/playlist?list=PLllOc-hWvYU60LYuza1UkvdWPyOKKU4Il	unknown	public	public	playlist	playlist,general_training,index	all		auxiliary	low	Public playlist from search; not all child videos are necessarily Liu Hui.
LH_YT_PLAYLIST_BADMINTON	Public badminton technique playlist	YouTube	https://www.youtube.com/playlist?list=PLdyrXBAeWHr83nDWmFB1U_h2L4kUKF9o_	unknown	public	public	playlist	playlist,technique,index	all		auxiliary	low	Public playlist from search; not all child videos are necessarily Liu Hui.
LH_BILI_FAV_BV16PTZZCEW6	业余选重拍还是轻拍？羽毛球新手进阶的选拍秘籍！	Bilibili	https://www.bilibili.com/video/BV16PtzzcEW6/	2025-08-11	public	authorized	video	equipment,student_fit	all		candidate	medium	Imported from Bilibili public favorite/list metadata; upper=大G羽毛球; review timestamps before rule use.
LH_BILI_FAV_BV1HRC5ZYESG	爆改业余蹬转杀球教学！髋带动具体怎么做！如何获得更多的身体带动	Bilibili	https://www.bilibili.com/video/BV1hrc5zyESG/	2026-02-13	public	authorized	video	smash,hip_rotation,power	smash		candidate	medium	Imported from Bilibili public favorite/list metadata; upper=大G羽毛球; review timestamps before rule use.
LH_BILI_FAV_BV1PMARZSEPC	羽毛球头顶点杀教学！点杀靠手腕吗？点杀发力动作纠错！教练示范！结尾有互动花絮	Bilibili	https://www.bilibili.com/video/BV1pmARzSEpc/	2026-03-03	public	authorized	video	smash,wrist,power	smash		candidate	medium	Imported from Bilibili public favorite/list metadata; upper=大G羽毛球; review timestamps before rule use.
LH_BILI_FAV_BV1YS1AYKE54	羽毛球杀球从0到1完整教学！杀球小白线下版零基础抡大臂到暴力杀球全过程！	Bilibili	https://www.bilibili.com/video/BV1yS1AYKE54/	2024-10-25	public	authorized	video	smash,beginner,training_plan	smash		candidate	medium	Imported from Bilibili public favorite/list metadata; upper=大G羽毛球; review timestamps before rule use.
LH_BILI_FAV_BV1WM4Y1H7GY	刘辉教练告诉你杀球压不下去怎么办	Bilibili	https://www.bilibili.com/video/BV1WM4y1h7GY/	2023-05-02	public	authorized	video	smash	smash		candidate	medium	Imported from Bilibili public favorite/list metadata; upper=石宇奇b站头号铁粉; review timestamps before rule use.
